"","code","group","section","yearsrn","gender","age","race","hr_post","hr_pre","ir_post","ir_pre","n_post","n_pre","overall_post","overall_pre","pa_post","pa_pre","sg_post","sg_pre","sm_post","sm_pre","overall_delta","hr_delta","pa_delta","n_delta","sg_delta","ir_delta","sm_delta"
"1","01234Boogie","B","1",1,"Female",32,"Other",2.77777777777778,2.44444444444444,3.11111111111111,3.22222222222222,2.33333333333333,2.22222222222222,2.48076923076923,2.51923076923077,1.875,2,3,3.22222222222222,1.625,1.875,-0.0384615384615383,0.333333333333333,-0.125,0.111111111111111,-0.222222222222222,-0.111111111111111,-0.25
"2","1007","A","2",9,"Male",30,"White",2.88888888888889,3,3.44444444444444,3.55555555555556,2.44444444444444,2.33333333333333,3.23076923076923,3.09615384615385,3.75,3.375,3.55555555555556,3.33333333333333,3.375,3,0.134615384615385,-0.111111111111111,0.375,0.111111111111111,0.222222222222222,-0.111111111111111,0.375
"3","101409","B","2",0.5,"Female",29,"White",1.75,2.33333333333333,2.33333333333333,3,2.77777777777778,3.33333333333333,2.35294117647059,2.75,2.125,2.375,2.22222222222222,3,2.875,2.375,-0.397058823529412,-0.583333333333333,-0.25,-0.555555555555556,-0.777777777777778,-0.666666666666667,0.5
"4","1016","B","2",0,"NA",35,"Other",3.44444444444444,2.77777777777778,3.66666666666667,3.33333333333333,3.11111111111111,3.22222222222222,3.40384615384615,3.15384615384615,3.375,3.25,3.55555555555556,3,3.25,3.375,0.25,0.666666666666667,0.125,-0.111111111111111,0.555555555555555,0.333333333333333,-0.125
"5","1027","A","2",0,"Female",30,"Black",2.22222222222222,2,3.22222222222222,2.66666666666667,2.44444444444444,2,2.55769230769231,2.19230769230769,2,2,3.44444444444444,2.66666666666667,1.875,1.75,0.365384615384615,0.222222222222222,0,0.444444444444445,0.777777777777778,0.555555555555556,0.125
"6","1076","A","2",10,"Female",34,"White",3.11111111111111,2.11111111111111,3.77777777777778,3.11111111111111,3.55555555555556,2.66666666666667,3.36538461538462,2.44230769230769,3,1.75,4,3.11111111111111,2.625,1.75,0.923076923076923,1,1.25,0.888888888888889,0.888888888888889,0.666666666666667,0.875
"7","112307LA","B","1",0.5,"Male",33,"Black",2.66666666666667,3,3.33333333333333,3,2.66666666666667,2.77777777777778,3.01923076923077,3.01923076923077,3.125,3.25,3.55555555555556,3.66666666666667,2.75,2.375,0,-0.333333333333333,-0.125,-0.111111111111111,-0.111111111111111,0.333333333333333,0.375
"8","1248","B","2",0.16,"Female",32,"Black",3.11111111111111,2.44444444444444,3.22222222222222,3,2.66666666666667,2.44444444444444,2.84313725490196,2.40384615384615,3,1.625,2.5,2.44444444444444,2.5,2.375,0.439291101055807,0.666666666666667,1.375,0.222222222222222,0.0555555555555554,0.222222222222222,0.125
"9","13062014","B","1",1,"Female",23,"Other",3,2.66666666666667,3.88888888888889,2.88888888888889,3.44444444444444,3.55555555555556,3.59615384615385,3.19230769230769,3.375,2.875,3.88888888888889,3.55555555555556,4,3.625,0.403846153846154,0.333333333333333,0.5,-0.111111111111111,0.333333333333333,1,0.375
"10","137","B","2",3,"Female",47,"White",2.33333333333333,2.33333333333333,2.66666666666667,2.66666666666667,2.77777777777778,3,2.57692307692308,2.82692307692308,3.25,3.125,2.66666666666667,3.33333333333333,1.75,2.5,-0.25,0,0.125,-0.222222222222222,-0.666666666666667,0,-0.75
"11","1844","A","2",0.5,"Female",24,"Black",2.66666666666667,2.33333333333333,3.55555555555556,4,2.33333333333333,2.66666666666667,2.86538461538462,2.84313725490196,1.625,1.5,4,3.77777777777778,2.875,2.75,0.0222473604826545,0.333333333333333,0.125,-0.333333333333333,0.222222222222222,-0.444444444444445,0.125
"12","2003","B","1",2,"Female",40,"Black",2.22222222222222,2.33333333333333,1.77777777777778,2.22222222222222,2.22222222222222,2.44444444444444,1.82692307692308,2.25,1.125,2,1.88888888888889,2.11111111111111,1.625,2.375,-0.423076923076923,-0.111111111111111,-0.875,-0.222222222222222,-0.222222222222222,-0.444444444444445,-0.75
"13","2011","A","2",3,"Male",36,"Black",2.77777777777778,2.11111111111111,3,2.55555555555556,3,2.22222222222222,2.82692307692308,2.34615384615385,2.125,2.125,3.11111111111111,2.66666666666667,2.875,2.375,0.480769230769231,0.666666666666667,0,0.777777777777778,0.444444444444445,0.444444444444445,0.5
